[2023-06-03 13:20:22,445:INFO main : Welcom to out custom Logging]
[2023-07-02 14:29:22,278:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 14:29:22,290:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 14:29:22,295:INFO common : created directory at : artifacts]
[2023-07-02 14:35:47,015:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 14:35:47,018:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 14:35:47,020:INFO common : created directory at : artifacts]
[2023-07-02 14:38:44,663:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 14:38:44,663:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 14:38:44,670:INFO common : created directory at : artifacts]
[2023-07-02 14:45:19,377:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 14:45:19,379:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 14:45:19,381:INFO common : created directory at : artifacts]
[2023-07-02 14:46:56,661:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 14:46:56,665:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 14:46:56,668:INFO common : created directory at : artifacts]
[2023-07-02 14:46:56,670:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:00:47,543:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:00:47,546:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:00:47,548:INFO common : created directory at : artifacts]
[2023-07-02 15:00:47,550:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:01:11,776:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:01:11,778:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:01:11,779:INFO common : created directory at : artifacts]
[2023-07-02 15:01:11,782:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:01:31,014:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:01:31,019:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:01:31,021:INFO common : created directory at : artifacts]
[2023-07-02 15:01:31,023:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:01:32,570:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:01:32,576:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:01:32,576:INFO common : created directory at : artifacts]
[2023-07-02 15:01:32,576:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:03:12,754:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:03:12,762:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:03:12,762:INFO common : created directory at : artifacts]
[2023-07-02 15:03:12,770:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:03:12,770:INFO 1456655439 : File already exists of size : ~2875 KB]
[2023-07-02 15:03:39,780:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:03:39,784:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:03:39,787:INFO common : created directory at : artifacts]
[2023-07-02 15:03:39,789:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:03:39,792:INFO 3670175254 : File already exists of size : ~2875 KB]
[2023-07-02 15:11:43,522:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:11:43,524:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:11:43,527:INFO common : created directory at : artifacts]
[2023-07-02 15:11:43,527:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:12:36,660:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:12:36,664:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:12:36,667:INFO common : created directory at : artifacts]
[2023-07-02 15:12:36,669:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 15:14:17,212:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 15:14:17,216:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 15:14:17,219:INFO common : created directory at : artifacts]
[2023-07-02 15:14:17,221:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 16:24:34,413:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 16:24:34,413:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 16:24:34,421:INFO common : created directory at : artifacts]
[2023-07-02 16:24:34,421:INFO common : created directory at : artifacts/data_ingestion]
[2023-07-02 16:29:05,447:INFO common : yaml file: config\config.yaml loaded successfully]
[2023-07-02 16:29:05,450:INFO common : yaml file: params.yaml loaded successfully]
[2023-07-02 16:29:05,452:INFO common : created directory at : artifacts]
[2023-07-02 16:29:05,454:INFO common : created directory at : artifacts/data_ingestion]
